"행정구역","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_0~4세","2021년08월_남_5~9세","2021년08월_남_10~14세","2021년08월_남_15~19세","2021년08월_남_20~24세","2021년08월_남_25~29세","2021년08월_남_30~34세","2021년08월_남_35~39세","2021년08월_남_40~44세","2021년08월_남_45~49세","2021년08월_남_50~54세","2021년08월_남_55~59세","2021년08월_남_60~64세","2021년08월_남_65~69세","2021년08월_남_70~74세","2021년08월_남_75~79세","2021년08월_남_80~84세","2021년08월_남_85~89세","2021년08월_남_90~94세","2021년08월_남_95~99세","2021년08월_남_100세 이상","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_0~4세","2021년08월_여_5~9세","2021년08월_여_10~14세","2021년08월_여_15~19세","2021년08월_여_20~24세","2021년08월_여_25~29세","2021년08월_여_30~34세","2021년08월_여_35~39세","2021년08월_여_40~44세","2021년08월_여_45~49세","2021년08월_여_50~54세","2021년08월_여_55~59세","2021년08월_여_60~64세","2021년08월_여_65~69세","2021년08월_여_70~74세","2021년08월_여_75~79세","2021년08월_여_80~84세","2021년08월_여_85~89세","2021년08월_여_90~94세","2021년08월_여_95~99세","2021년08월_여_100세 이상"
"전국  (0000000000)","25,766,031","25,766,031","807,150","1,154,806","1,215,483","1,229,848","1,652,371","1,875,014","1,655,155","1,829,373","2,024,616","2,139,842","2,271,863","2,075,439","2,039,854","1,423,351","982,527","691,904","448,750","189,426","47,982","9,047","2,230","25,903,685","25,903,685","765,718","1,099,511","1,146,252","1,142,146","1,521,873","1,672,118","1,523,976","1,744,685","1,954,674","2,073,661","2,230,546","2,020,720","2,084,814","1,523,981","1,119,798","908,817","731,836","429,062","163,137","37,655","8,705"
"서울특별시  (1100000000)","4,640,740","4,640,740","129,766","176,433","189,993","201,088","292,214","402,129","364,322","358,270","362,416","377,526","392,963","348,510","346,019","257,783","183,490","133,498","81,360","31,954","8,564","1,819","623","4,909,487","4,909,487","122,200","168,049","179,786","192,489","322,918","422,032","365,483","358,167","368,511","384,837","404,827","359,036","381,456","292,733","215,754","163,571","113,723","61,339","24,590","6,093","1,893"
"부산광역시  (2600000000)","1,644,378","1,644,378","46,491","68,329","68,191","69,493","102,324","116,387","99,345","110,248","125,965","128,387","138,448","132,304","145,246","112,633","79,465","53,942","32,142","11,705","2,744","442","147","1,715,149","1,715,149","44,214","64,756","64,561","64,967","96,558","105,853","93,317","106,076","122,036","127,847","144,592","140,679","161,288","126,921","93,874","68,059","50,639","26,473","9,739","2,095","605"
"대구광역시  (2700000000)","1,180,223","1,180,223","35,211","52,460","55,208","59,593","81,333","86,007","72,838","77,185","88,046","97,278","106,907","98,664","94,465","66,922","46,315","30,987","20,120","8,511","1,818","285","70","1,213,403","1,213,403","33,301","50,145","51,747","53,488","72,843","73,837","62,613","74,250","89,310","100,716","111,681","102,229","101,311","76,491","56,373","42,677","33,782","18,595","6,432","1,278","304"
"인천광역시  (2800000000)","1,471,347","1,471,347","46,559","66,423","70,227","69,398","93,223","111,721","98,422","108,951","121,235","124,570","129,918","124,316","118,538","75,219","48,756","32,954","19,795","8,338","2,206","451","127","1,467,082","1,467,082","43,971","63,283","66,430","65,516","86,994","101,318","90,591","102,585","114,678","119,736","131,156","123,367","118,457","78,978","54,143","42,634","33,055","19,798","7,995","1,975","422"
"광주광역시  (2900000000)","713,286","713,286","23,616","35,604","38,895","40,649","54,299","53,982","42,930","50,311","56,664","61,019","62,654","53,658","48,832","32,187","24,443","17,347","10,616","4,258","1,116","178","28","728,684","728,684","22,602","33,687","36,409","37,671","50,079","49,107","40,131","48,846","57,440","61,851","63,521","54,453","52,763","36,125","29,771","22,568","17,166","9,583","3,821","880","210"
"대전광역시  (3000000000)","725,956","725,956","22,905","33,431","36,058","38,060","52,167","58,241","49,117","50,510","55,496","60,450","64,455","55,152","54,204","37,154","24,727","17,104","10,705","4,604","1,176","202","38","728,723","728,723","21,700","31,506","33,996","35,270","49,378","50,621","42,816","47,974","55,890","60,817","64,750","55,179","56,850","40,131","28,008","22,029","16,946","10,066","3,790","832","174"
"울산광역시  (3100000000)","577,806","577,806","19,422","28,833","29,486","28,511","37,810","41,142","36,732","41,369","47,419","46,869","53,014","51,891","47,086","30,191","18,792","10,724","5,819","2,160","448","77","11","546,653","546,653","18,529","27,124","27,162","25,248","29,711","31,220","30,500","38,235","43,776","46,490","53,755","47,961","45,784","30,400","19,164","13,243","9,925","5,723","2,106","523","74"
"세종특별자치시  (3600000000)","182,430","182,430","10,196","13,780","12,849","9,575","9,082","10,464","12,925","16,919","18,940","17,239","14,198","10,449","9,708","6,534","4,122","2,647","1,712","826","222","35","8","182,879","182,879","9,941","13,034","12,604","9,535","8,242","10,397","13,568","17,752","19,304","15,760","12,728","9,793","9,738","6,743","4,430","3,394","2,871","2,014","839","163","29"
"경기도  (4100000000)","6,810,105","6,810,105","236,894","334,127","344,189","338,011","442,302","510,737","460,632","520,500","575,048","592,521","605,500","537,104","495,593","318,661","204,969","146,185","94,017","39,890","10,505","2,167","553","6,720,414","6,720,414","225,076","319,632","327,337","317,509","407,961","448,234","423,626","494,008","553,942","573,577","597,454","514,555","489,425","333,357","231,807","188,167","146,519","85,361","33,103","7,982","1,782"
"강원도  (4200000000)","773,260","773,260","22,143","30,286","33,725","36,191","50,466","48,858","40,577","45,186","52,138","60,719","69,301","66,889","73,901","53,456","32,354","27,699","19,396","7,345","2,002","515","113","763,010","763,010","21,125","28,786","31,597","33,185","40,061","37,118","34,911","42,294","50,461","56,727","64,052","63,705","73,853","54,100","36,741","36,685","31,075","17,257","7,172","1,748","357"
"충청북도  (4300000000)","810,095","810,095","25,422","35,376","38,000","38,412","51,297","57,808","48,449","53,745","58,896","64,235","71,585","67,370","70,388","49,123","30,868","23,495","16,327","7,182","1,718","332","67","787,084","787,084","24,103","34,144","35,652","35,008","43,448","43,605","40,542","49,091","54,562","59,938","67,953","62,954","68,454","49,989","33,766","31,763","27,412","17,103","6,020","1,326","251"
"충청남도  (4400000000)","1,082,664","1,082,664","35,175","49,836","53,289","51,136","64,278","68,438","64,833","76,117","85,245","88,519","93,987","85,229","86,827","61,691","45,931","32,505","23,692","12,360","2,973","515","88","1,035,519","1,035,519","33,360","47,677","49,460","47,370","54,019","53,061","53,970","66,688","74,394","77,698","82,497","76,346","83,852","63,464","49,776","43,375","39,844","26,778","9,333","2,132","425"
"전라북도  (4500000000)","891,776","891,776","24,311","38,505","43,049","45,694","58,900","54,175","43,564","51,513","62,037","72,748","80,270","74,606","75,935","55,464","44,697","31,294","21,410","10,368","2,729","421","86","900,700","900,700","23,371","36,218","40,646","41,997","50,520","45,466","39,634","49,429","59,077","68,134","73,747","69,420","76,246","58,091","50,816","44,006","37,765","24,453","9,313","1,906","445"
"전라남도  (4600000000)","924,912","924,912","26,700","37,781","41,762","43,265","57,357","52,688","42,108","52,848","62,919","72,826","84,714","83,251","83,194","59,165","49,137","35,582","25,589","10,616","2,831","510","69","913,441","913,441","25,516","36,569","39,337","39,771","45,358","41,231","37,563","47,990","56,070","62,324","71,766","72,199","79,487","60,005","54,791","51,607","48,998","28,744","11,057","2,513","545"
"경상북도  (4700000000)","1,325,354","1,325,354","38,213","55,532","57,522","59,620","79,566","78,815","69,999","81,085","93,359","103,777","118,268","117,093","122,411","91,029","65,127","43,819","31,523","14,518","3,424","559","95","1,304,900","1,304,900","36,267","52,093","53,066","52,840","62,146","59,051","57,674","74,002","85,110","95,918","109,448","109,065","119,672","95,407","71,283","62,194","57,612","35,736","12,904","2,848","564"
"경상남도  (4800000000)","1,672,737","1,672,737","51,908","79,965","84,284","83,141","104,361","101,596","90,284","111,796","131,745","140,969","154,073","141,185","142,892","99,460","67,399","43,255","28,737","12,184","2,958","451","94","1,649,636","1,649,636","48,955","75,654","78,936","74,285","82,718","80,470","79,474","104,526","123,674","133,392","147,546","134,046","141,827","103,474","75,815","61,496","54,734","33,409","12,262","2,516","427"
"제주특별자치도  (5000000000)","338,962","338,962","12,218","18,105","18,756","18,011","21,392","21,826","18,078","22,820","27,048","30,190","31,608","27,768","24,615","16,679","11,935","8,867","5,790","2,607","548","88","13","336,921","336,921","11,487","17,154","17,526","15,997","18,919","19,497","17,563","22,772","26,439","27,899","29,073","25,733","24,351","17,572","13,486","11,349","9,770","6,630","2,661","845","198"
